Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771534851276,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,0,0,0,0,0,0,0,0,0,0,0,7.312741279602051,25769803776,7516192768,14846476288,5823070208
208,1771534851276,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,8.999876022338867,25769803776,7516192768,14847311872,5823070208
207,1771534851485,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,0,0,14.285715103149414,5,0,0,0,0,8.69565200805664,0,8.999876022338867,25769803776,7516192768,14847770624,5823070208
207,1771534851693,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.81818199157715,15.000000953674316,0,0,10,4.761904716491699,0,0,0,0,0,0,8.999876022338867,25769803776,7516192768,14847770624,5823070208
206,1771534851901,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,13.636363983154297,9.523809432983398,0,0,0,0,0,0,8.999876022338867,25769803776,7516192768,14847688704,5823070208
205,1771534852107,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,10,9.523809432983398,0,0,0,0,10,19.047618865966797,8.999876022338867,25769803776,7516192768,14848147456,5823070208
209,1771534852313,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,18.18181800842285,9.090909004211426,0,9.523809432983398,0,0,0,0,0,10,10,9.7822265625,25769803776,7516192768,14848147456,5823070208
208,1771534852523,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,10.526315689086914,0,0,9.523809432983398,9.523809432983398,0,0,0,0,4.545454502105713,0,9.7822265625,25769803776,7516192768,14848147456,5823070208
208,1771534852732,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,18.18181800842285,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,9.7822265625,25769803776,7516192768,14848147456,5823070208
208,1771534852940,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,14.285715103149414,9.090909004211426,0,0,0,0,0,0,9.7822265625,25769803776,7516192768,14832173056,5823070208
202,1771534853149,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,14.285715103149414,0,0,5.263157844543457,0,0,0,0,0,0,0,9.7822265625,25769803776,7516192768,14816624640,5823070208
202,1771534853352,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,25,0,0,19.047618865966797,10,0,0,0,0,0,0,8.729328155517578,25769803776,7516192768,14779416576,5823070208
200,1771534853554,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,15.000000953674316,0,4.761904716491699,15.000000953674316,5,0,0,0,0,0,5,8.729328155517578,25769803776,7516192768,14780022784,5823070208
204,1771534853756,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,20,0,0,5,5,0,0,0,0,4.761904716491699,0,8.729328155517578,25769803776,7516192768,14780071936,5823070208
208,1771534853960,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,10,0,0,10,9.523809432983398,0,0,0,0,0,0,8.729328155517578,25769803776,7516192768,14779858944,5823070208
207,1771534854169,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,15.000000953674316,0,0,14.285715103149414,0,0,0,0,0,0,0,8.729328155517578,25769803776,7516192768,14779875328,5823070208
209,1771534854378,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,19.047618865966797,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,7.112024307250977,25769803776,7516192768,14775681024,5823070208
207,1771534854588,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,10,9.523809432983398,0,0,0,0,0,0,7.112024307250977,25769803776,7516192768,14775812096,5823070208
208,1771534854796,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,20,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,7.112024307250977,25769803776,7516192768,14775779328,5823070208
202,1771534855005,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,22.72727394104004,0,0,14.285715103149414,0,0,0,0,0,0,0,7.112024307250977,25769803776,7516192768,14775664640,5823070208
