Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771640908020,3504,3504,3504,3504,3504,3504,3504,3504,58.34996795654297,57.957061767578125,56.856468200683594,56.62776184082031,56.7762565612793,56.870269775390625,56.47748565673828,57.60370635986328,58.00934600830078,0,50,50,50,0,0,0,0,6.315291404724121,8589934592,1073741824,5302108160,299040768
209,1771640908020,3504,3504,3504,3504,3504,3504,3504,3504,58.34996795654297,57.957061767578125,56.856468200683594,56.62776184082031,56.7762565612793,56.870269775390625,56.47748565673828,57.60370635986328,58.00934600830078,0,0,0,0,0,0,0,0,6.315291404724121,8589934592,1073741824,5303091200,299040768
208,1771640908231,3504,3504,3504,3504,3504,3504,3504,3504,57.09012222290039,56.69626235961914,55.33464050292969,55.19183349609375,55.17498016357422,54.982269287109375,54.713897705078125,55.954429626464844,56.044281005859375,23.809524536132813,23.809524536132813,14.285715103149414,10,0,0,0,0,6.315291404724121,8589934592,1073741824,5303091200,299040768
209,1771640908439,3504,3504,3504,3504,3504,3504,3504,3504,57.09012222290039,56.69626235961914,55.33464050292969,55.19183349609375,55.17498016357422,54.982269287109375,54.713897705078125,55.954429626464844,56.044281005859375,14.285715103149414,23.809524536132813,15.000000953674316,9.523809432983398,0,0,0,0,6.315291404724121,8589934592,1073741824,5303091200,299040768
209,1771640908649,3504,3504,3504,3504,3504,3504,3504,3504,57.09012222290039,56.69626235961914,55.33464050292969,55.19183349609375,55.17498016357422,54.982269287109375,54.713897705078125,55.954429626464844,56.044281005859375,9.523809432983398,15.000000953674316,4.761904716491699,5,27.272727966308594,23.809524536132813,0,4.545454502105713,2.520528554916382,8589934592,1073741824,5321588736,299040768
205,1771640908859,3504,3504,3504,3504,3504,3504,3504,3504,57.09012222290039,56.69626235961914,55.33464050292969,55.19183349609375,55.17498016357422,54.982269287109375,54.713897705078125,55.954429626464844,56.044281005859375,9.523809432983398,14.285715103149414,9.090909004211426,8.69565200805664,5,0,9.523809432983398,0,2.520528554916382,8589934592,1073741824,5320441856,299040768
209,1771640909065,3504,3504,3504,3504,3504,3504,3504,3504,57.09012222290039,56.69626235961914,55.33464050292969,55.19183349609375,55.17498016357422,54.982269287109375,54.713897705078125,55.954429626464844,56.044281005859375,14.285715103149414,20,15.000000953674316,5.263157844543457,0,0,0,0,2.520528554916382,8589934592,1073741824,5320441856,299040768
208,1771640909275,3504,3504,3504,3504,3504,3504,3504,3504,55.875431060791016,55.5384521484375,54.164283752441406,54.0377197265625,53.9617919921875,53.86897277832031,53.501220703125,54.76403045654297,54.824520111083984,25,18.18181800842285,19.047618865966797,13.636363983154297,0,4.545454502105713,0,0,2.520528554916382,8589934592,1073741824,5320441856,299040768
209,1771640909484,3504,3504,3504,3504,3504,3504,3504,3504,55.875431060791016,55.5384521484375,54.164283752441406,54.0377197265625,53.9617919921875,53.86897277832031,53.501220703125,54.76403045654297,54.824520111083984,23.809524536132813,5.263157844543457,14.285715103149414,5,0,0,0,0,2.520528554916382,8589934592,1073741824,5320441856,299040768
204,1771640909694,3504,3504,3504,3504,3504,3504,3504,3504,55.875431060791016,55.5384521484375,54.164283752441406,54.0377197265625,53.9617919921875,53.86897277832031,53.501220703125,54.76403045654297,54.824520111083984,20,26.086956024169922,10,18.18181800842285,0,0,0,0,3.1894259452819824,8589934592,1073741824,5316591616,299040768
208,1771640909899,3504,3504,3504,3504,3504,3504,3504,3504,55.875431060791016,55.5384521484375,54.164283752441406,54.0377197265625,53.9617919921875,53.86897277832031,53.501220703125,54.76403045654297,54.824520111083984,23.809524536132813,15.789472579956055,19.047618865966797,15.789472579956055,10,5,9.523809432983398,5,3.1894259452819824,8589934592,1073741824,5316919296,299040768
208,1771640910107,3504,3504,3504,3504,3504,3504,3504,3504,55.875431060791016,55.5384521484375,54.164283752441406,54.0377197265625,53.9617919921875,53.86897277832031,53.501220703125,54.76403045654297,54.824520111083984,19.047618865966797,25,10,9.523809432983398,0,0,0,0,3.1894259452819824,8589934592,1073741824,5316968448,299040768
209,1771640910316,3504,3504,3504,3504,3504,3504,3504,3504,53.86927032470703,53.59033966064453,52.48980712890625,52.21239471435547,52.6522102355957,52.46788024902344,52.106719970703125,53.24559020996094,53.43071365356445,20,31.81818199157715,19.047618865966797,18.18181800842285,0,0,0,0,3.1894259452819824,8589934592,1073741824,5307269120,299040768
209,1771640910526,3504,3504,3504,3504,3504,3504,3504,3504,53.86927032470703,53.59033966064453,52.48980712890625,52.21239471435547,52.6522102355957,52.46788024902344,52.106719970703125,53.24559020996094,53.43071365356445,28.571430206298828,23.809524536132813,14.285715103149414,5.263157844543457,0,0,0,0,3.1894259452819824,8589934592,1073741824,5307285504,299040768
209,1771640910736,3504,3504,3504,3504,3504,3504,3504,3504,53.86927032470703,53.59033966064453,52.48980712890625,52.21239471435547,52.6522102355957,52.46788024902344,52.106719970703125,53.24559020996094,53.43071365356445,23.809524536132813,15.000000953674316,13.636363983154297,13.636363983154297,0,0,0,0,2.740595817565918,8589934592,1073741824,5306925056,299040768
209,1771640910946,3504,3504,3504,3504,3504,3504,3504,3504,53.86927032470703,53.59033966064453,52.48980712890625,52.21239471435547,52.6522102355957,52.46788024902344,52.106719970703125,53.24559020996094,53.43071365356445,9.523809432983398,27.272727966308594,5.263157844543457,9.523809432983398,0,0,0,0,2.740595817565918,8589934592,1073741824,5306925056,299040768
203,1771640911156,3504,3504,3504,3504,3504,3504,3504,3504,52.910484313964844,52.4063720703125,51.391883850097656,51.2110595703125,51.583099365234375,51.363800048828125,51.12969207763672,52.22666931152344,52.37943649291992,14.285715103149414,15.789472579956055,14.285715103149414,9.523809432983398,0,0,0,0,2.740595817565918,8589934592,1073741824,5306908672,299040768
204,1771640911360,3504,3504,3504,3504,3504,3504,3504,3504,52.910484313964844,52.4063720703125,51.391883850097656,51.2110595703125,51.583099365234375,51.363800048828125,51.12969207763672,52.22666931152344,52.37943649291992,20,23.809524536132813,14.285715103149414,10,0,0,0,0,2.740595817565918,8589934592,1073741824,5306908672,299040768
208,1771640911565,3504,3504,3504,3504,3504,3504,3504,3504,52.910484313964844,52.4063720703125,51.391883850097656,51.2110595703125,51.583099365234375,51.363800048828125,51.12969207763672,52.22666931152344,52.37943649291992,19.047618865966797,19.047618865966797,15.000000953674316,9.523809432983398,0,0,0,0,2.740595817565918,8589934592,1073741824,5307023360,299040768
207,1771640911774,3504,3504,3504,3504,3504,3504,3504,3504,52.910484313964844,52.4063720703125,51.391883850097656,51.2110595703125,51.583099365234375,51.363800048828125,51.12969207763672,52.22666931152344,52.37943649291992,33.333335876464844,20,14.285715103149414,15.000000953674316,0,0,0,0,2.16973614692688,8589934592,1073741824,5306875904,299040768
201,1771640911982,3504,3504,3504,3504,3504,3504,3504,3504,52.910484313964844,52.4063720703125,51.391883850097656,51.2110595703125,51.583099365234375,51.363800048828125,51.12969207763672,52.22666931152344,52.37943649291992,25,13.636363983154297,9.523809432983398,9.523809432983398,0,0,0,0,2.16973614692688,8589934592,1073741824,5306892288,299040768
209,1771640912184,3504,3504,3504,3504,3504,3504,3504,3504,52.10109329223633,51.31151580810547,50.48878479003906,50.272987365722656,50.7675666809082,50.555328369140625,50.25176239013672,51.43854904174805,51.492340087890625,20,15.000000953674316,15.000000953674316,10,0,0,0,4.761904716491699,2.16973614692688,8589934592,1073741824,5306892288,299040768
206,1771640912394,3504,3504,3504,3504,3504,3504,3504,3504,52.10109329223633,51.31151580810547,50.48878479003906,50.272987365722656,50.7675666809082,50.555328369140625,50.25176239013672,51.43854904174805,51.492340087890625,28.571430206298828,14.285715103149414,9.523809432983398,9.523809432983398,0,0,0,0,2.16973614692688,8589934592,1073741824,5306793984,299040768
202,1771640912600,3504,3504,3504,3504,3504,3504,3504,3504,52.10109329223633,51.31151580810547,50.48878479003906,50.272987365722656,50.7675666809082,50.555328369140625,50.25176239013672,51.43854904174805,51.492340087890625,20,15.000000953674316,10,9.523809432983398,0,0,0,0,2.16973614692688,8589934592,1073741824,5306793984,299040768
202,1771640912803,3504,3504,3504,3504,3504,3504,3504,3504,52.10109329223633,51.31151580810547,50.48878479003906,50.272987365722656,50.7675666809082,50.555328369140625,50.25176239013672,51.43854904174805,51.492340087890625,19.047618865966797,15.000000953674316,15.000000953674316,15.000000953674316,0,0,0,0,2.4860382080078125,8589934592,1073741824,5305221120,299040768
209,1771640913006,3504,3504,3504,3504,3504,3504,3504,3504,52.10109329223633,51.31151580810547,50.48878479003906,50.272987365722656,50.7675666809082,50.555328369140625,50.25176239013672,51.43854904174805,51.492340087890625,15.789472579956055,15.000000953674316,19.047618865966797,10.526315689086914,0,0,0,0,2.4860382080078125,8589934592,1073741824,5305516032,299040768
201,1771640913216,3504,3504,3504,3504,3504,3504,3504,3504,51.38918685913086,50.61620330810547,49.76862335205078,49.532615661621094,50.06400680541992,49.697235107421875,49.47715759277344,50.72679901123047,50.788063049316406,23.809524536132813,19.047618865966797,15.000000953674316,13.636363983154297,0,0,0,0,2.4860382080078125,8589934592,1073741824,5305516032,299040768
205,1771640913418,3504,3504,3504,3504,3504,3504,3504,3504,51.38918685913086,50.61620330810547,49.76862335205078,49.532615661621094,50.06400680541992,49.697235107421875,49.47715759277344,50.72679901123047,50.788063049316406,30.000001907348633,25,19.047618865966797,15.000000953674316,0,0,0,0,2.4860382080078125,8589934592,1073741824,5305516032,299040768
209,1771640913624,3504,3504,3504,3504,3504,3504,3504,3504,51.38918685913086,50.61620330810547,49.76862335205078,49.532615661621094,50.06400680541992,49.697235107421875,49.47715759277344,50.72679901123047,50.788063049316406,19.047618865966797,19.047618865966797,10,5,0,0,0,0,2.0735831260681152,8589934592,1073741824,5305516032,299040768
209,1771640913834,3504,3504,3504,3504,3504,3504,3504,3504,51.38918685913086,50.61620330810547,49.76862335205078,49.532615661621094,50.06400680541992,49.697235107421875,49.47715759277344,50.72679901123047,50.788063049316406,23.809524536132813,19.047618865966797,9.523809432983398,18.18181800842285,9.090909004211426,0,0,0,2.0735831260681152,8589934592,1073741824,5303697408,299040768
206,1771640914044,3504,3504,3504,3504,3504,3504,3504,3504,51.38918685913086,50.61620330810547,49.76862335205078,49.532615661621094,50.06400680541992,49.697235107421875,49.47715759277344,50.72679901123047,50.788063049316406,14.285715103149414,14.285715103149414,14.285715103149414,15.000000953674316,0,0,0,0,2.0735831260681152,8589934592,1073741824,5303386112,299040768
206,1771640914250,3504,3504,3504,3504,3504,3504,3504,3504,50.77048110961914,50.0470085144043,49.13909149169922,48.9228515625,49.400367736816406,49.14392852783203,48.967369079589844,50.09056854248047,50.16727066040039,26.3157901763916,19.047618865966797,15.000000953674316,19.047618865966797,0,0,0,0,2.0735831260681152,8589934592,1073741824,5303386112,299040768
199,1771640914457,3504,3504,3504,3504,3504,3504,3504,3504,50.77048110961914,50.0470085144043,49.13909149169922,48.9228515625,49.400367736816406,49.14392852783203,48.967369079589844,50.09056854248047,50.16727066040039,19.047618865966797,15.000000953674316,18.18181800842285,5,0,0,0,0,2.0735831260681152,8589934592,1073741824,5303386112,299040768
209,1771640914657,3504,3504,3504,3504,3504,3504,3504,3504,50.77048110961914,50.0470085144043,49.13909149169922,48.9228515625,49.400367736816406,49.14392852783203,48.967369079589844,50.09056854248047,50.16727066040039,19.047618865966797,15.789472579956055,15.789472579956055,10,0,0,0,0,2.280372142791748,8589934592,1073741824,5303386112,299040768
206,1771640914867,3504,3504,3504,3504,3504,3504,3504,3504,50.77048110961914,50.0470085144043,49.13909149169922,48.9228515625,49.400367736816406,49.14392852783203,48.967369079589844,50.09056854248047,50.16727066040039,20,19.047618865966797,23.809524536132813,9.523809432983398,0,0,0,0,2.280372142791748,8589934592,1073741824,5303369728,299040768
207,1771640915074,3504,3504,3504,3504,3504,3504,3504,3504,50.77048110961914,50.0470085144043,49.13909149169922,48.9228515625,49.400367736816406,49.14392852783203,48.967369079589844,50.09056854248047,50.16727066040039,19.047618865966797,23.809524536132813,15.000000953674316,14.285715103149414,0,0,0,0,2.280372142791748,8589934592,1073741824,5303386112,299040768
209,1771640915282,3504,3504,3504,3504,3504,3504,3504,3504,50.15065002441406,49.451473236083984,48.47551727294922,48.26026916503906,48.91574478149414,48.696311950683594,48.34071350097656,49.51741027832031,49.55597686767578,15.000000953674316,20,15.000000953674316,5,0,0,0,0,2.280372142791748,8589934592,1073741824,5303336960,299040768
206,1771640915492,3504,3504,3504,3504,3504,3504,3504,3504,50.15065002441406,49.451473236083984,48.47551727294922,48.26026916503906,48.91574478149414,48.696311950683594,48.34071350097656,49.51741027832031,49.55597686767578,19.047618865966797,19.047618865966797,18.18181800842285,14.285715103149414,0,4.545454502105713,0,0,2.280372142791748,8589934592,1073741824,5302796288,299040768
