Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771534103467,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,0,0,0,0,0,0,7.9991068840026855,25769803776,7516192768,14938734592,5823070208
209,1771534103467,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,NaN,0,0,0,0,0,NaN,0,0,0,7.9991068840026855,25769803776,7516192768,14938587136,5823070208
207,1771534103677,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.81818199157715,23.809524536132813,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,4.545454502105713,7.9991068840026855,25769803776,7516192768,14938308608,5823070208
199,1771534103886,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,26.3157901763916,14.285715103149414,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,7.9991068840026855,25769803776,7516192768,14929887232,5823070208
209,1771534104086,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,20,0,0,10.526315689086914,0,0,0,0,0,0,0,7.9991068840026855,25769803776,7516192768,14929772544,5823070208
207,1771534104296,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,10.464080810546875,25769803776,7516192768,14929838080,5823070208
210,1771534104503,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,14.285715103149414,0,4.545454502105713,14.285715103149414,5,0,0,8.69565200805664,0,9.090909004211426,0,10.464080810546875,25769803776,7516192768,14917287936,5823070208
205,1771534104714,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,38.095237731933594,52.38095474243164,52.38095474243164,42.85714340209961,36.3636360168457,42.85714340209961,42.85714340209961,42.105262756347656,47.619049072265625,55,57.142860412597656,10.464080810546875,25769803776,7516192768,15000141824,5823070208
209,1771534104920,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,50,42.85714340209961,52.38095474243164,45,38.095237731933594,38.095237731933594,42.85714340209961,42.85714340209961,38.095237731933594,42.85714340209961,47.619049072265625,50,10.464080810546875,25769803776,7516192768,15006089216,5823070208
205,1771534105129,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,47.619049072265625,42.85714340209961,50,57.142860412597656,33.333335876464844,30.000001907348633,40,40,45.45454788208008,40,52.38095474243164,50,10.464080810546875,25769803776,7516192768,14992670720,5823070208
201,1771534105335,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,42.85714340209961,31.57894515991211,47.36842346191406,42.85714340209961,30.000001907348633,28.571430206298828,38.095237731933594,40,40,45.45454788208008,47.619049072265625,45,7.9891862869262695,25769803776,7516192768,14989950976,5823070208
208,1771534105536,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,40,42.85714340209961,47.619049072265625,45,38.095237731933594,35,42.85714340209961,42.85714340209961,40,40,47.36842346191406,45,7.9891862869262695,25769803776,7516192768,14985134080,5823070208
208,1771534105745,4,4,4,4,4,4,4,4,4,4,4,4,2.1999998092651367,1.5,40,40,2.1999998092651367,1.5,1.5,2.1999998092651367,1.5,2.1999998092651367,2.1999998092651367,1.5,40,33.333335876464844,47.619049072265625,40,31.57894515991211,28.571430206298828,40,38.095237731933594,42.85714340209961,42.85714340209961,47.619049072265625,47.619049072265625,7.9891862869262695,25769803776,7516192768,14981464064,5823070208
