Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771610496985,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,100,100,0,0,0,12.949299812316895,8589934592,4294967296,6274416640,2637234176
209,1771610496985,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,NaN,100,0,0,0,12.949299812316895,8589934592,4294967296,6269845504,2637234176
203,1771610497195,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,100,4.545454502105713,95,4.761904716491699,0,12.949299812316895,8589934592,4294967296,6269845504,2637234176
209,1771610497399,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,100,15.789472579956055,85,19.047618865966797,5,12.949299812316895,8589934592,4294967296,6269845504,2637234176
202,1771610497609,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,100,45.45454788208008,40.90909194946289,28.571430206298828,22.72727394104004,11.811542510986328,8589934592,4294967296,6269845504,2637234176
211,1771610497812,3504,3504,3504,3504,3504,3504,3504,3504,94.48506164550781,91.24590301513672,87.49037170410156,88.76937103271484,79.58179473876953,80.59185791015625,79.89324951171875,83.01297760009766,83.47367095947266,100,100,100,100,5,95,5,0,11.811542510986328,8589934592,4294967296,6269845504,2637234176
209,1771610498023,3504,3504,3504,3504,3504,3504,3504,3504,98.88544464111328,87.99121856689453,86.29193115234375,90.57649230957031,78.48331451416016,79.74738311767578,78.95938110351563,81.61801147460938,81.91825866699219,100,100,100,100,85,95.23809814453125,80.95238494873047,86.36363983154297,11.811542510986328,8589934592,4294967296,6242942976,2637234176
213,1771610498233,3504,3504,3504,3504,3504,3504,3504,3504,98.88544464111328,87.99121856689453,86.29193115234375,90.57649230957031,78.48331451416016,79.74738311767578,78.95938110351563,81.61801147460938,81.91825866699219,100,100,100,100,90.90909576416016,90.47618865966797,90.47618865966797,90,11.811542510986328,8589934592,4294967296,6265159680,2637234176
209,1771610498446,3504,3504,3504,3504,3504,3504,3504,3504,98.88544464111328,87.99121856689453,86.29193115234375,90.57649230957031,78.48331451416016,79.74738311767578,78.95938110351563,81.61801147460938,81.91825866699219,100,100,100,100,95.45454406738281,95.45454406738281,85.71428680419922,90.90909576416016,12.573577880859375,8589934592,4294967296,6272565248,2637234176
207,1771610498656,3504,3504,3504,3504,3504,3504,3504,3504,98.88544464111328,87.99121856689453,86.29193115234375,90.57649230957031,78.48331451416016,79.74738311767578,78.95938110351563,81.61801147460938,81.91825866699219,100,100,100,100,90.47618865966797,90.47618865966797,95.23809814453125,95.23809814453125,12.573577880859375,8589934592,4294967296,6276399104,2637234176
215,1771610498864,3504,3504,3504,3504,3504,3504,3504,3504,98.88544464111328,87.99121856689453,86.29193115234375,90.57649230957031,78.48331451416016,79.74738311767578,78.95938110351563,81.61801147460938,81.91825866699219,100,100,100,100,90.47618865966797,85,95.23809814453125,95.23809814453125,12.573577880859375,8589934592,4294967296,6245695488,2637234176
206,1771610499080,3504,3504,3504,3504,3504,3504,3504,3504,105.0596923828125,102.80419158935547,101.18244171142578,101.79594421386719,85.2722396850586,100.57887268066406,100.4964599609375,101.71090698242188,104.79277801513672,100,100,100,100,90.47618865966797,95.23809814453125,90.47618865966797,90.90909576416016,12.573577880859375,8589934592,4294967296,6260981760,2637234176
206,1771610499287,3504,3504,3504,3504,3504,3504,3504,3504,105.0596923828125,102.80419158935547,101.18244171142578,101.79594421386719,85.2722396850586,100.57887268066406,100.4964599609375,101.71090698242188,104.79277801513672,100,100,100,100,95.23809814453125,90.90909576416016,86.36363983154297,90,12.573577880859375,8589934592,4294967296,6289080320,2637234176
