Delta, Time         , CPU_FREQUENCY_0, CPU_FREQUENCY_1, CPU_FREQUENCY_2, CPU_FREQUENCY_3, CPU_FREQUENCY_4, CPU_FREQUENCY_5, CPU_FREQUENCY_6, CPU_FREQUENCY_7, CPU_TEMP_0        , CPU_TEMP_1        , CPU_TEMP_2        , CPU_TEMP_3        , CPU_TEMP_4        , CPU_TEMP_5        , CPU_TEMP_6        , CPU_TEMP_7       , CPU_TEMP_8        , CPU_USAGE_0        , CPU_USAGE_1       , CPU_USAGE_2       , CPU_USAGE_3       , CPU_USAGE_4       , CPU_USAGE_5       , CPU_USAGE_6      , CPU_USAGE_7      , SYSTEM_POWER (Watts), TOTAL_MEMORY, TOTAL_SWAP, USED_MEMORY, USED_SWAP
    0, 1771494451210,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 44.971435546875   , 44.450748443603516, 43.022972106933594, 43.08595275878906 , 43.114036560058594, 43.017669677734375, 42.73485565185547 , 43.77363586425781, 43.84096908569336 ,   0                ,  0                ,  0                , 0                 , 0                 , 0                 , 0                , 0                ,   5.182349681854248 ,   8589934592, 6442450944,  6457229312, 5383061504
  204, 1771494451210,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 44.971435546875   , 44.450748443603516, 43.022972106933594, 43.08595275878906 , 43.114036560058594, 43.017669677734375, 42.73485565185547 , 43.77363586425781, 43.84096908569336 , 100                ,  0                ,  0                , NaN               , NaN               , NaN               , 0                , 0                ,   5.182349681854248 ,   8589934592, 6442450944,  6458327040, 5383061504
  201, 1771494451415,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 44.971435546875   , 44.450748443603516, 43.022972106933594, 43.08595275878906 , 43.114036560058594, 43.017669677734375, 42.73485565185547 , 43.77363586425781, 43.84096908569336 ,  25                , 20                , 20                , 23.809524536132813, 0                 , 0                 , 4.761904716491699, 0                ,   5.182349681854248 ,   8589934592, 6442450944,  6458327040, 5383061504
  201, 1771494451617,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 44.971435546875   , 44.450748443603516, 43.022972106933594, 43.08595275878906 , 43.114036560058594, 43.017669677734375, 42.73485565185547 , 43.77363586425781, 43.84096908569336 ,  28.571430206298828, 21.052631378173828, 15.789472579956055, 26.3157901763916  , 0                 , 0                 , 0                , 0                ,   4.21696662902832  ,   8589934592, 6442450944,  6458327040, 5374672896
  204, 1771494451820,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 44.971435546875   , 44.450748443603516, 43.022972106933594, 43.08595275878906 , 43.114036560058594, 43.017669677734375, 42.73485565185547 , 43.77363586425781, 43.84096908569336 ,  26.3157901763916  , 28.571430206298828, 23.809524536132813, 28.571430206298828, 0                 , 0                 , 0                , 0                ,   4.21696662902832  ,   8589934592, 6442450944,  6451068928, 5374672896
  204, 1771494452024,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 43.540340423583984, 43.254154205322266, 41.71446990966797 , 41.781150817871094, 42.05030822753906 , 41.96699523925781 , 41.686065673828125, 42.7143669128418 , 42.74079513549805 ,  35                , 38.095237731933594, 28.571430206298828, 33.333335876464844, 19.047618865966797, 5.263157844543457 , 9.523809432983398, 0                ,   4.21696662902832  ,   8589934592, 6442450944,  6448480256, 5374672896
  199, 1771494452230,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 43.540340423583984, 43.254154205322266, 41.71446990966797 , 41.781150817871094, 42.05030822753906 , 41.96699523925781 , 41.686065673828125, 42.7143669128418 , 42.74079513549805 ,  50                , 50                , 45                , 40                , 10                , 13.636363983154297, 0                , 0                ,   4.21696662902832  ,   8589934592, 6442450944,  6397853696, 5374672896
  202, 1771494452430,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 43.540340423583984, 43.254154205322266, 41.71446990966797 , 41.781150817871094, 42.05030822753906 , 41.96699523925781 , 41.686065673828125, 42.7143669128418 , 42.74079513549805 ,  95.23809814453125 , 95                , 89.47368621826172 , 94.73684692382813 , 0                 , 0                 , 0                , 0                ,   4.21696662902832  ,   8589934592, 6442450944,  6415368192, 5374672896
  200, 1771494452633,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 43.540340423583984, 43.254154205322266, 41.71446990966797 , 41.781150817871094, 42.05030822753906 , 41.96699523925781 , 41.686065673828125, 42.7143669128418 , 42.74079513549805 ,  80                , 80                , 75                , 66.66667175292969 , 0                 , 0                 , 0                , 0                ,   4.576400279998779 ,   8589934592, 6442450944,  6422446080, 5374672896
  204, 1771494452833,            3504,            3504,            3504,            3504,            3504,            3504,            3504,            3504, 43.540340423583984, 43.254154205322266, 41.71446990966797 , 41.781150817871094, 42.05030822753906 , 41.96699523925781 , 41.686065673828125, 42.7143669128418 , 42.74079513549805 ,  70                , 70                , 66.66667175292969 , 63.15789031982422 , 0                 , 0                 , 0                , 0                ,   4.576400279998779 ,   8589934592, 6442450944,  6433538048, 5374672896
