Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771534552927,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,50,0,0,0,0,0,0,0,0,0,0,9.953009605407715,25769803776,7516192768,14788509696,5823070208
203,1771534552927,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,100,0,0,0,0,0,0,0,NaN,50,0,9.953009605407715,25769803776,7516192768,14788509696,5823070208
203,1771534553131,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.789472579956055,9.090909004211426,0,14.285715103149414,5,0,0,0,0,5,0,9.953009605407715,25769803776,7516192768,14788509696,5823070208
203,1771534553335,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,8.769061088562012,25769803776,7516192768,14788509696,5823070208
204,1771534553539,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,23.809524536132813,0,4.761904716491699,15.000000953674316,10,0,0,0,0,0,0,8.769061088562012,25769803776,7516192768,14773387264,5823070208
203,1771534553744,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,20,0,0,15.000000953674316,14.285715103149414,0,0,0,0,0,4.761904716491699,8.769061088562012,25769803776,7516192768,14775795712,5823070208
204,1771534553948,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,57.142860412597656,0,0,35,45,0,0,0,0,0,0,8.769061088562012,25769803776,7516192768,14775844864,5823070208
204,1771534554153,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,30.000001907348633,10,10,23.809524536132813,15.000000953674316,14.285715103149414,10,10,10,14.285715103149414,15.000000953674316,8.769061088562012,25769803776,7516192768,14780514304,5823070208
204,1771534554358,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,10,4.761904716491699,0,10,4.761904716491699,0,0,0,0,5,4.761904716491699,9.527291297912598,25769803776,7516192768,14768783360,5823070208
204,1771534554563,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,10,4.761904716491699,9.090909004211426,9.523809432983398,0,0,0,0,0,25,20,9.527291297912598,25769803776,7516192768,14799683584,5823070208
