Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771534255068,4,4,4,4,4,4,4,4,4,4,4,4,69.26081848144531,86.76153564453125,69.5625,73.984375,80.95958709716797,79.93586730957031,70.4520492553711,83.7884292602539,82.27147674560547,86.12252044677734,80.4397964477539,78.4254150390625,100,66.66667175292969,50,50,50,0,50,100,100,66.66667175292969,50,50,47.80552291870117,25769803776,7516192768,14918647808,5823070208
210,1771534255068,4,4,4,4,4,4,4,4,4,4,4,4,69.26081848144531,86.76153564453125,69.5625,73.984375,80.95958709716797,79.93586730957031,70.4520492553711,83.7884292602539,82.27147674560547,86.12252044677734,80.4397964477539,78.4254150390625,0,NaN,100,100,50,50,100,100,100,NaN,100,100,47.80552291870117,25769803776,7516192768,14919516160,5823070208
210,1771534255279,4,4,4,4,4,4,4,4,4,4,4,4,69.26081848144531,86.76153564453125,69.5625,73.984375,80.95958709716797,79.93586730957031,70.4520492553711,83.7884292602539,82.27147674560547,86.12252044677734,80.4397964477539,78.4254150390625,60.000003814697266,57.142860412597656,76.19047546386719,75,45,40,75,76.19047546386719,76.19047546386719,80.95238494873047,76.19047546386719,76.19047546386719,49.633033752441406,25769803776,7516192768,14926249984,5823070208
208,1771534255489,4,4,4,4,4,4,4,4,4,4,4,4,69.26081848144531,86.76153564453125,69.5625,73.984375,80.95958709716797,79.93586730957031,70.4520492553711,83.7884292602539,82.27147674560547,86.12252044677734,80.4397964477539,78.4254150390625,57.142860412597656,52.38095474243164,71.42857360839844,71.42857360839844,52.38095474243164,45,76.19047546386719,76.19047546386719,76.19047546386719,76.19047546386719,71.42857360839844,75,49.633033752441406,25769803776,7516192768,14911094784,5823070208
208,1771534255698,4,4,4,4,4,4,4,4,4,4,4,4,69.26081848144531,86.76153564453125,69.5625,73.984375,80.95958709716797,79.93586730957031,70.4520492553711,83.7884292602539,82.27147674560547,86.12252044677734,80.4397964477539,78.4254150390625,57.142860412597656,52.38095474243164,76.19047546386719,77.2727279663086,52.38095474243164,50,80,76.19047546386719,80.95238494873047,76.19047546386719,76.19047546386719,76.19047546386719,49.633033752441406,25769803776,7516192768,14911553536,5823070208
210,1771534255906,4,4,4,4,4,4,4,4,4,4,4,4,69.86863708496094,87.2757339477539,70.03125,74.671875,82.218017578125,80.69366455078125,71.04998016357422,84.83468627929688,82.8621826171875,87.25055694580078,81.61309051513672,79.18770599365234,55,52.38095474243164,76.19047546386719,73.68421173095703,40,45,76.19047546386719,80.95238494873047,77.2727279663086,76.19047546386719,80.95238494873047,72.7272720336914,49.633033752441406,25769803776,7516192768,14928166912,5823070208
200,1771534256125,4,4,4,4,4,4,4,4,4,4,4,4,69.86863708496094,87.2757339477539,70.03125,74.671875,82.218017578125,80.69366455078125,71.04998016357422,84.83468627929688,82.8621826171875,87.25055694580078,81.61309051513672,79.18770599365234,59.09090805053711,54.54545593261719,76.19047546386719,75,52.173912048339844,45.45454788208008,77.2727279663086,71.42857360839844,76.19047546386719,76.19047546386719,70,75,49.633033752441406,25769803776,7516192768,14898921472,5823070208
209,1771534256326,4,4,4,4,4,4,4,4,4,4,4,4,69.86863708496094,87.2757339477539,70.03125,74.671875,82.218017578125,80.69366455078125,71.04998016357422,84.83468627929688,82.8621826171875,87.25055694580078,81.61309051513672,79.18770599365234,60.000003814697266,47.36842346191406,76.19047546386719,80,50,45,75,80.95238494873047,75,76.19047546386719,77.2727279663086,76.19047546386719,51.296356201171875,25769803776,7516192768,14644903936,5823070208
204,1771534256535,4,4,4,4,4,4,4,4,4,4,4,4,69.86863708496094,87.2757339477539,70.03125,74.671875,82.218017578125,80.69366455078125,71.04998016357422,84.83468627929688,82.8621826171875,87.25055694580078,81.61309051513672,79.18770599365234,55,52.38095474243164,76.19047546386719,80,47.36842346191406,47.619049072265625,76.19047546386719,76.19047546386719,76.19047546386719,75,80,80.95238494873047,51.296356201171875,25769803776,7516192768,14647836672,5823070208
205,1771534256740,4,4,4,4,4,4,4,4,4,4,4,4,69.86863708496094,87.2757339477539,70.03125,74.671875,82.218017578125,80.69366455078125,71.04998016357422,84.83468627929688,82.8621826171875,87.25055694580078,81.61309051513672,79.18770599365234,61.904762268066406,52.38095474243164,80.95238494873047,75,52.38095474243164,40,76.19047546386719,75,75,71.42857360839844,76.19047546386719,76.19047546386719,51.296356201171875,25769803776,7516192768,14660681728,5823070208
210,1771534256946,4,4,4,4,4,4,4,4,4,4,4,4,69.95446014404297,86.66302490234375,70.03125,74.90625,81.89966583251953,80.39701843261719,71.06778717041016,84.55069732666016,82.58265686035156,86.66678619384766,81.05229949951172,78.67961883544922,57.142860412597656,50,76.19047546386719,76.19047546386719,47.619049072265625,45,75,76.19047546386719,76.19047546386719,75,76.19047546386719,76.19047546386719,51.296356201171875,25769803776,7516192768,14648672256,5823070208
